Project name,Total Number of Vulnerabilities
sandmark,0.0
jgroups,0.0
maven,1.0
quilt,0.0
jparse,0.0
mvnforum,58.0
jtopen,0.0
jasml,0.0
poi,0.0
wct,34.0
htmlunit,7.0
myfaces_core,0.0
tomcat,97.0
proguard,0.0
hibernate,6.0
webmail,0.0
nekohtml,0.0
jchempaint,0.0
c_jdbc,5.0
ireport,11.0
jmoney,0.0
jrefactory,1.0
quartz,0.0
jasperreports,9.0
freemind,5.0
cobertura,0.0
axion,0.0
jedit,0.0
aspectj,0.0
findbugs,99.0
ivatagroupware,0.0
jsXe,0.0
jmeter,2.0
jgraph,0.0
trove,0.0
heritrix,26.0
velocity,0.0
pmd,0.0
nakedobjects,1.0
collections,0.0
sunflow,0.0
jpf,0.0
freecs,0.0
batik,0.0
drjava,0.0
castor,3.0
xalan,0.0
fitjava,0.0
log4j,0.0
aoi,0.0
jgraphpad,0.0
jhotdraw,0.0
freecol,4.0
quickserver,0.0
colt,0.0
displaytag,0.0
lucene,1.0
marauroa,3.0
springframework,0.0
struts,12.0
itext,0.0
fitlibraryforfitnesse,1.0
exoportal,33.0
argouml,9.0
jspwiki,6.0
columba,0.0
ant,0.0
jag,47.0
eclipse_SDK,150.0
informa,4.0
weka,0.0
antlr,0.0
sablecc,0.0
james,4.0
compiere,97.0
checkstyle,0.0
megamek,4.0
hsqldb,0.0
openjms,4.0
jext,4.0
cayenne,0.0
jung,0.0
jfreechart,0.0
galleon,2.0
tapestry,13.0
jboss,64.0
emma,0.0
roller,54.0
xmojo,7.0
gt2,123.0
picocontainer,0.0
oscache,0.0
jFin_DateMath,0.0
pooka,1.0
javacc,0.0
derby,1.0
drawswf,0.0
jstock,3.0
xerces,0.0
rssowl,1.0
jrat,0.0
jruby,5.0
junit,0.0
netbeans,138.0
hadoop,19.0
squirrel_sql,5.0
jena,0.0
joggplayer,0.0
azureus,0.0
jre,0.0
jgrapht,4.0
ganttproject,3.0
