Project name,Total Number of Unique Vulnerabilities
sandmark,0
jgroups,0
maven,1
quilt,0
jparse,0
mvnforum,54
jtopen,0
jasml,0
poi,0
wct,25
htmlunit,3
myfaces_core,0
tomcat,32
proguard,0
hibernate,2
webmail,0
nekohtml,0
jchempaint,0
c_jdbc,5
ireport,11
jmoney,0
jrefactory,1
quartz,0
jasperreports,9
freemind,5
cobertura,0
axion,0
jedit,0
aspectj,0
findbugs,99
ivatagroupware,0
jsXe,0
jmeter,2
jgraph,0
trove,0
heritrix,26
velocity,0
pmd,0
nakedobjects,1
collections,0
sunflow,0
jpf,0
freecs,0
batik,0
drjava,0
castor,3
xalan,0
fitjava,0
log4j,0
aoi,0
jgraphpad,0
jhotdraw,0
freecol,4
quickserver,0
colt,0
displaytag,0
lucene,1
marauroa,3
springframework,0
struts,11
itext,0
fitlibraryforfitnesse,1
exoportal,15
argouml,9
jspwiki,6
columba,0
ant,0
jag,46
eclipse_SDK,24
informa,4
weka,0
antlr,0
sablecc,0
james,4
compiere,17
checkstyle,0
megamek,4
hsqldb,0
openjms,4
jext,4
cayenne,0
jung,0
jfreechart,0
galleon,2
tapestry,13
jboss,23
emma,0
roller,31
xmojo,7
gt2,123
picocontainer,0
oscache,0
jFin_DateMath,0
pooka,1
javacc,0
derby,1
drawswf,0
jstock,3
xerces,0
rssowl,1
jrat,0
jruby,3
junit,0
netbeans,125
hadoop,7
squirrel_sql,5
jena,0
joggplayer,0
azureus,0
jre,0
jgrapht,2
ganttproject,3
,
,
,786
