Project name,Total Number of Dependencies
aspectj,0
axion,0
collections,0
displaytag,0
jasml,0
jFin_DateMath,0
jgraph,0
jparse,0
jre,0
junit,0
log4j,0
picocontainer,0
quilt,0
sablecc,0
antlr,1
azureus,1
emma,1
hsqldb,1
itext,1
javacc,1
sunflow,1
trove,1
colt,2
jedit,2
joggplayer,2
jpf,2
oscache,2
proguard,2
ant,3
drawswf,3
jmoney,3
jrat,3
jsXe,3
nakedobjects,3
xerces,3
ivatagroupware,5
pooka,5
fitjava,6
jfreechart,6
jgrapht,6
marauroa,6
poi,6
quartz,6
weka,6
xmojo,6
cayenne,7
jung,7
freecs,8
jhotdraw,8
sandmark,8
springframework,8
jgraphpad,9
jgroups,9
myfaces_core,9
nekohtml,9
checkstyle,10
jrefactory,10
pmd,10
fitlibraryforfitnesse,11
jena,11
cobertura,12
jtopen,12
webmail,12
tomcat,13
batik,14
freecol,14
jext,14
xalan,14
velocity,16
aoi,17
castor,17
drjava,17
hibernate,17
lucene,17
megamek,17
findbugs,18
informa,18
openjms,18
quickserver,18
james,22
ganttproject,25
heritrix,27
columba,31
htmlunit,34
derby,35
jchempaint,36
tapestry,38
rssowl,41
struts,41
jspwiki,42
jstock,46
argouml,47
mvnforum,48
freemind,49
hadoop,50
c_jdbc,53
squirrel_sql,53
jruby,56
roller,61
jmeter,66
jasperreports,71
maven,84
galleon,86
ireport,88
wct,95
jag,117
exoportal,160
compiere,178
gt2,186
jboss,200
netbeans,308
eclipse_SDK,415
