Project name,Total Number of Unique Vulnerabilities
ant,0
antlr,0
aoi,0
argouml,5
aspectj,0
azureus,0
c_jdbc,5
castor,3
cayenne,0
checkstyle,0
cobertura,0
collections,0
compiere,17
derby,1
drjava,0
eclipse_SDK,23
emma,0
findbugs,99
fitlibraryforfitnesse,1
freecol,4
freecs,0
freemind,5
galleon,2
ganttproject,3
gt2,112
hadoop,5
heritrix,29
hibernate,2
hsqldb,0
htmlunit,3
informa,4
ireport,11
james,4
jasperreports,9
javacc,0
jboss,23
jchempaint,0
jedit,0
jena,0
jFin_DateMath,0
jfreechart,0
jgrapht,2
jgroups,0
jhotdraw,0
jmeter,2
jpf,0
jre,0
jruby,3
jspwiki,6
jstock,3
jtopen,0
jung,0
junit,0
marauroa,3
maven,1
megamek,4
mvnforum,54
nekohtml,0
netbeans,125
picocontainer,0
pmd,0
proguard,0
quartz,0
quilt,0
roller,31
rssowl,2
sablecc,0
springframework,0
squirrel_sql,5
struts,11
tapestry,13
tomcat,1
velocity,0
wct,25
webmail,0
weka,0
xerces,0
