Project name,Number of vulnerabilities per dependency
sandmark,0.0
jgroups,0.0
maven,0.0136986301369863
quilt,0.0
jparse,0.0
mvnforum,1.125
jtopen,0.0
jasml,0.0
poi,0.0
wct,0.2631578947368421
htmlunit,0.09375
myfaces_core,0.0
tomcat,0.3333333333333333
proguard,0.0
hibernate,0.11764705882352941
webmail,0.0
nekohtml,0.0
jchempaint,0.0
c_jdbc,0.10204081632653061
ireport,0.125
jmoney,0.0
jrefactory,0.0
quartz,0.0
jasperreports,0.1267605633802817
freemind,0.1111111111111111
cobertura,0.0
axion,0.0
jedit,0.0
aspectj,0.0
findbugs,6.1875
ivatagroupware,0.0
jsXe,0.0
jmeter,0.041666666666666664
jgraph,0.0
trove,0.0
heritrix,1.1153846153846154
velocity,0.0
pmd,0.0
nakedobjects,0.0
collections,0.0
sunflow,0.0
jpf,0.0
freecs,0.0
batik,0.0
drjava,0.0
castor,0.17647058823529413
xalan,0.0
fitjava,0.0
log4j,0.0
aoi,0.0
jgraphpad,0.0
jhotdraw,0.0
freecol,0.3076923076923077
quickserver,0.0
colt,0.0
displaytag,0.0
lucene,0.0
marauroa,0.5
springframework,0.0
struts,0.275
itext,0.0
fitlibraryforfitnesse,0.1
exoportal,0.1271186440677966
argouml,0.11627906976744186
jspwiki,0.14634146341463414
columba,0.0
ant,0.0
jag,0.42201834862385323
eclipse_SDK,0.3150684931506849
informa,0.2222222222222222
weka,0.0
antlr,0.0
sablecc,0.0
james,0.19047619047619047
compiere,0.09714285714285714
checkstyle,0.0
megamek,0.25
hsqldb,0.0
openjms,0.2222222222222222
jext,0.3076923076923077
cayenne,0.0
jung,0.0
jfreechart,0.0
galleon,0.03076923076923077
tapestry,0.34210526315789475
jboss,0.1270718232044199
emma,0.0
roller,0.5081967213114754
xmojo,1.4
gt2,1.009009009009009
picocontainer,0.0
oscache,0.0
jFin_DateMath,0.0
pooka,0.0
javacc,0.0
derby,0.02857142857142857
drawswf,0.0
jstock,0.06666666666666667
xerces,0.0
rssowl,0.045454545454545456
jrat,0.0
jruby,0.05555555555555555
junit,0.0
netbeans,0.46296296296296297
hadoop,0.10204081632653061
squirrel_sql,0.11363636363636363
jena,0.0
joggplayer,0.0
azureus,0.0
jre,0.0
jgrapht,0.3333333333333333
ganttproject,0.11538461538461539
