JAR File,Vulnerable JAR File Distribution
/home/bcraig/Documents/Thesis/Analysis/reports/eclipse_SDK/3rdParty/org.eclipse.ecf.provider.filetransfer.ssl_1.0.0.v20130604-1622.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/eclipse_SDK/3rdParty/org.eclipse.ui.editors_3.8.100.v20130513-1637.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/eclipse_SDK/3rdParty/org.eclipse.ui.workbench.texteditor_3.8.100.v20130514-1533.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/jboss/3rdParty/logging-monitor.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/compiere/3rdParty/CrystalContentModels.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/jboss/3rdParty/bsh-deployer.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/compiere/3rdParty/jbosssx.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/eclipse_SDK/3rdParty/org.eclipse.jdt.junit.runtime_3.4.400.v20130514-0733.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/gt2/3rdParty/mysql-connector-java-5.1.5.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/compiere/3rdParty/antlr.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/wct/3rdParty/jboss-jaxws-jbossws-2.0.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/compiere/3rdParty/jbossts-common.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/ganttproject/3rdParty/AppleJavaExtensions.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/compiere/3rdParty/jettison.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/jboss/3rdParty/snmpTrapAppender.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/jext/3rdParty/PhpPlugin.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/hadoop/3rdParty/jsp-api-2.1.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/eclipse_SDK/3rdParty/org.eclipse.update.configurator_3.3.200.v20130326-1319.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/eclipse_SDK/3rdParty/org.eclipse.osgi.util_3.2.300.v20130513-1956.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/compiere/3rdParty/jbossws-spi.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/maven/3rdParty/test-extension-1.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/eclipse_SDK/3rdParty/org.eclipse.jface_3.9.0.v20130521-1714.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/eclipse_SDK/3rdParty/org.eclipse.equinox.p2.repository_2.3.0.v20130412-2032.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/eclipse_SDK/3rdParty/org.eclipse.equinox.p2.repository.tools_2.1.0.v20130327-2119.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/gt2/3rdParty/gt-oracle-spatial-2.7-M3.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/eclipse_SDK/3rdParty/org.eclipse.e4.core.di_1.3.0.v20130514-1256.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/wct/3rdParty/struts.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/compiere/3rdParty/jbossall-client.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/tapestry/3rdParty/spring-core-2.5.6.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/galleon/3rdParty/mail.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/jboss/3rdParty/scheduler-plugin.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/lucene/3rdParty/icu4j-49.1.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/mvnforum/3rdParty/mail.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/eclipse_SDK/3rdParty/org.eclipse.pde.ua.core_1.0.300.v20130402-1757.jar,1.0
/home/bcraig/Documents/Thesis/Analysis/reports/eclipse_SDK/3rdParty/org.eclipse.e4.core.di.extensions_0.11.100.v20130514-1256.jar,1.0
